Unique ID	Set Unique ID	Edition	Start Card Id	End Card Id	Initial Release Date	Out of Print	Card Database	Product Page	Collector's Center	Card Gallery	Release Notes	Set Logo
L8TtnhCrGPchHjbJqNj86	kqQtDHQ8pMgcGBRBRFT7c	N	DVR001	DVR028	2022-05-27T00:00:00.000Z			https://fabtcg.com/products/booster-set/classic-battles-rvd/		https://fabtcg.com/resources/card-galleries/classic-battles-rhinar-vs-dorinthea/		https://dhhim4ltzu1pj.cloudfront.net/media/images/cb_logo_2.original.png
9Crgw7PnFN69zb9DKzFTb	HWKQRtfbPPRGqh6dMdQFK	N	DYN000	DYN246	2022-11-11T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/dynasty/	https://fabtcg.com/products/booster-set/dynasty/	https://fabtcg.com/collectors-centre/dynasty/	https://fabtcg.com/resources/card-galleries/dynasty/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/dynasty/	https://dhhim4ltzu1pj.cloudfront.net/media/images/dynasty_logo_re.original.png
NhgmFkNBHjCqB6rBzFp8W	TWQdqjJfGzCjjCRJzM6PG	F	ELE000	ELE237	2021-09-24T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/tales-of-aria/	https://fabtcg.com/products/booster-set/tales-first-ed/	https://fabtcg.com/collectors-centre/tales-of-aria/	https://fabtcg.com/resources/card-galleries/tales-aria-booster/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/tales-aria-release-notes/	https://dhhim4ltzu1pj.cloudfront.net/media/images/toa_logo.original.png
LdhWCQdJmzHn9gChmWRPG	TWQdqjJfGzCjjCRJzM6PG	U	ELE000	ELE237	2021-11-12T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/tales-of-aria-unlimited/	https://fabtcg.com/products/booster-set/tales-aria-unlimited/	https://fabtcg.com/collectors-centre/tales-of-aria/	https://fabtcg.com/resources/card-galleries/tales-aria-unlimited/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/tales-aria-release-notes/	https://dhhim4ltzu1pj.cloudfront.net/media/images/toa_logo.original.png
jrFJT6DNmgwrBCNgDBqhJ	BjgNW9MLKq9TfgrDzqrCT	N	ENG001	ENG029	2024-05-31T00:00:00.000Z		https://cards.fabtcg.com/products/enigma-blitz-deck/	https://fabtcg.com/products/booster-set/part-the-mistveil-blitz-deck-collection-en/	https://fabtcg.com/en/collectors-centre/part-the-mistveil/	https://fabtcg.com/resources/card-galleries/part-the-mistveil-collection-box/		
FrDDbdr69bML776RTLjTW	L8K8FRNNHFL9HJdLbJPdr	N	EVO000	EVO250	2023-10-06T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/bright-lights/	https://fabtcg.com/articles/evo/	https://fabtcg.com/collectors-centre/bright-lights/	https://fabtcg.com/en/resources/card-galleries/bright-lights/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/bright-lights-round-the-table/	https://dhhim4ltzu1pj.cloudfront.net/media/images/bright_lights_logo_3TRCirLnKQgbe.original.png
KQGqrFhCnDmkNFcbLBNhp	pfLLLbcmBpfkqrR9fKGtj	F	EVR000	EVR197	2022-02-04T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/everfest/	https://fabtcg.com/products/booster-set/everfest/	https://fabtcg.com/collectors-centre/everfest/	https://fabtcg.com/resources/card-galleries/everfest-booster/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/everfest/	https://dhhim4ltzu1pj.cloudfront.net/media/images/1ubILjMFFi7Junh.original.png
j76qTFctqc8krqh9GKGmT	zpj7gQ6k67FP97MMMhFRr	N	FAB001	FAB323					https://fabtcg.com/collectors-centre/promos-and-extras/			
gHqcKjPKKmFfjqMqWqDmW	GN9B6QcH6BCdcJtNCNTwJ	N	FAI001	FAI027	2022-06-24T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/fai-blitz-deck/	https://fabtcg.com/products/booster-set/uprising/uprising-blitz-decks/	https://fabtcg.com/collectors-centre/uprising/	https://fabtcg.com/resources/card-galleries/uprising/fai-blitz-deck/		
rnL6JdWNFJgfCwh9JF7Kq	GLKrFtFbrPjmdFQBQdhCg	N	FLR001	FLR029	2024-09-20T00:00:00.000Z		https://cards.fabtcg.com/products/rosetta-blitz-deck-florian/	https://fabtcg.com/products/booster-set/rosetta-blitz-deck-collection/	https://fabtcg.com/en/collectors-centre/rosetta/			
