Front Card Printing Unique ID	Front Card Name	Front Card Printing	Back Card Printing Unique ID	Back Card Name	Back Card Printing	Is DFC		
rnnHc8w6D6rkcWbQPhg8L	Figment of Ravages	DTD008 – N (CF Marvel)	tt9nQkNHdGCNPmpBNf86H	Sekem, Archangel of Ravages	DTD008 – N (CF Marvel)	Yes		
K7HWd9kPrmbbJjqbBFdDm	Figment of Rebirth	DTD009 – N	Dd7FJPqqqqRWPPDKmKFP8	Avalon, Archangel of Rebirth	DTD009 – N	Yes		
LNgJbnpWWmg6FWb6Rqjcw	Figment of Rebirth	DTD009 – N (CF Marvel)	Hk6Btm8wTjdcbDwrLGjwT	Avalon, Archangel of Rebirth	DTD009 – N (CF Marvel)	Yes		
pzWM8JMLNdckDfPbb8Kq7	Figment of Tenacity	DTD010 – N	dgJkcWJcKnHhKMcjqDp7t	Metis, Archangel of Tenacity	DTD010 – N	Yes		
dHMcHkKjnqb9LWgFLCq9c	Figment of Tenacity	DTD010 – N (CF Marvel)	QKtTdRHktkJ9TCDqMNhgk	Metis, Archangel of Tenacity	DTD010 – N (CF Marvel)	Yes		
NNkcpWbPKp8qQB8CMMPRG	Figment of Triumph	DTD011 – N	9Jt6gP8RFMjGHWpWbhkQh	Victoria, Archangel of Triumph	DTD011 – N	Yes		
qPRjkgmDphWKj9WNM678j	Figment of Triumph	DTD011 – N (CF Marvel)	CFnHTGhzNMKpccPG6hwJr	Victoria, Archangel of Triumph	DTD011 – N (CF Marvel)	Yes		
BpBbFNBBfNTRWD7BckLr8	Figment of War	DTD012 – N	cFFCjbLNQRNPCC97KRqQ6	Bellona, Archangel of War	DTD012 – N	Yes		
9jWPjKGfLPbDGpL8LNzgd	Figment of War	DTD012 – N (CF Marvel)	p6KkCjPKRfLcPnBGPQcRR	Bellona, Archangel of War	DTD012 – N (CF Marvel)	Yes		
QtKHgzKTr8gtL7WpDhNmc	Blasmophet, Levia Consumed	DTD164 – N	TncL8B98DftCW7Crm7zpN	Levia, Redeemed	DTD164 – N	Yes		
TbWMgdggtpckgkc8GtRqk	Levia, Redeemed	DTD164 – N (Marvel Cold Foil)	cfRkgq7WRQN7Fwq9NKDHc	Blasmophet, Levia Consumed	DTD164 – N (Marvel Cold Foil)	Yes		
qW78NRQmkKP6GPDh6dRCB	Emperor, Dracai of Aesir	DYN001 – N (Marvel CF Front)	FdMrN6bCqQwtWTBGHJNMP	Emperor, Dracai of Aesir	DYN001 – N (Marvel CF Back)	No		
PjqTbqPPDpBTNwHDp6bBt	Construct Nitro Mechanoid	DYN092 – N	W6Lgk7H9qnmDQFtjmWhPr	Nitro Mechanoid	DYN092 – N	Yes		
BTMrLnfwCkJMhdM9m97t7	Construct Nitro Mechanoid	DYN092 – N (CF Marvel)	tWppWbDpTpW7cd76FgDdk	Nitro Mechanoid	DYN092 – N (CF Marvel)	Yes		
jhNHnRCrQdbNTwMqBrNnw	Invoke Suraya	DYN212 – N	9t7rW86gGr9dh7GnKJkfR	Suraya, Archangel of Knowledge	DYN212 – N	Yes		
tqJj8FNChzKmHgLjpqg8J	Invoke Suraya	DYN212 – N (CF Marvel)	wqJcff7qcwhdHpqpwhtqw	Suraya, Archangel of Knowledge	DYN212 – N (CF Marvel)	Yes		
ngd87qwrtDqdzbQDMcRBG	Oldhim, Grandfather of Eternity	ELE001 – F	z7MBLPmfLFrdKNPrk9rHm	Shiver	ELE033 – F	No		
HRf9JKPBJ99kR6pCbnJWt	Oldhim, Grandfather of Eternity	ELE001 – U	pQdJTKf67W8Q69nbz6JzD	Shiver	ELE033 – U	No		
Qn6FLdKMLmBggzCQrHdPK	Oldhim	ELE002 – F	MzRGcjhC7LG8dCMHzzcDT	Frostbite	ELE111 – F	No		
88JzQLzkgLngTtpMKF6TQ	Oldhim	ELE002 – U	qtKNrDCHh6cKfLpT6wBHR	Frostbite	ELE111 – U	No		
Kmbq8tk9CGtCKHpgdLDgC	Lexi, Livewire	ELE031 – F	TfGMgJpRJfpdJFqr6MpNW	 Rosetta Thorn	ELE222 – F	No		
n9wcJNfMQJhDchCQNdK8b	Lexi, Livewire	ELE031 – U	9PqGTkzgCDfMHKLLRg7dC	 Rosetta Thorn	ELE222 – U	No		
z7MBLPmfLFrdKNPrk9rHm	Lexi	ELE032 – F	MzRGcjhC7LG8dCMHzzcDT	Frostbite	ELE111 – F	No		
pQdJTKf67W8Q69nbz6JzD	Lexi	ELE032 – U	qtKNrDCHh6cKfLpT6wBHR	Frostbite	ELE111 – U	No		
z7MBLPmfLFrdKNPrk9rHm	Shiver	ELE033 – F	7BKrjc8RnChRWMpWGQgn8	Embodiment of Earth	ELE109 – F	No		
pQdJTKf67W8Q69nbz6JzD	Shiver	ELE033 – U	Jj8KpfNKPBPmrCp8MwLbT	Embodiment of Earth	ELE109 – U	No		
9g7ffGfzmbLWGFpQFNbth	 Briar, Warden of Thorns	ELE062 – F	nwrC76m7NmMBHFJ7gMcgj	Titan's Fist	ELE202 – F	No		
LPM6bt6rzHCRfz7jfrQ7q	Briar, Warden of Thorns	ELE062 – U	GDnDh689b8HrrKm88FR8k	Titan's Fist	ELE202 – U	No		
wpPrrKKKjcbqMHGWcCfmc	Briar	ELE063 – F	MzRGcjhC7LG8dCMHzzcDT	Frostbite	ELE111 – F	No		
6bKpqt6znbc9PBrqCzKHW	Briar	ELE063 – U	qtKNrDCHh6cKfLpT6wBHR	Frostbite	ELE111 – U	No		
7BKrjc8RnChRWMpWGQgn8	Embodiment of Earth	ELE109 – F	9jBjJD9DL9NzPzqTjhzQb	Embodiment of Lightning	ELE110 – F	No		
Jj8KpfNKPBPmrCp8MwLbT	Embodiment of Earth	ELE109 – U	bJmDzPGH9bDGpL6LMPHHk	Embodiment of Lightning	ELE110 – U	No		
